ticket_number,issue_date,issue_time,rp_state_plate,plate_expiry_date,make,body_style,color,location,route,agency,violation_code,violation_description,fine_amount,latitude,longitude
4273834876,2015-12-30,1109.0,CA,,TOYT,PA,GY,14333 SYLVAN ST,00363,53.0,80.69C,PARKED OVER TIME LIM,58.0,6427066.4,1889879.8
4273834880,2015-12-30,1138.0,CA,201609.0,TOYT,PA,WT,14501 SYLVAN ST,00363,53.0,88.13B+,METER EXP.,63.0,6425961.6,1889884.1
4273834891,2015-12-30,1141.0,CA,,INFI,PA,GY,14545 SYLVAN ST,00363,53.0,88.13B+,METER EXP.,63.0,6425665.2,1889885.3
4273834902,2015-12-30,1156.0,CA,201610.0,CHEV,PA,WT,14401 GILMORE ST,00363,53.0,88.13B+,METER EXP.,63.0,6426626.0,1890971.9
4273834913,2015-12-30,1202.0,CA,201606.0,TOYT,PA,GY,14422 VICTORY BL,00363,53.0,88.13B+,METER EXP.,63.0,6426476.5,1890612.5
4273834924,2015-12-30,1342.0,CA,201604.0,FORD,PA,GN,6426 VAN NUYS BL,00363,53.0,88.13B+,METER EXP.,63.0,6425965.1,1890809.5
4273834935,2015-12-30,1402.0,CA,201604.0,BMW,PA,GY,6475 VAN NUYS BL,00363,53.0,88.13B+,METER EXP.,63.0,6425966.5,1891159.5
4273834946,2015-12-30,1403.0,CA,201604.0,BMW,PA,GY,6475 VAN NUYS BL,00363,53.0,5200,DISPLAY OF PLATES,25.0,6425966.5,1891159.5
4273834950,2015-12-30,1406.0,CA,201602.0,MERZ,PA,BK,14511 VICTORY BL,00363,53.0,88.13B+,METER EXP.,63.0,99999.0,99999.0
4273834961,2015-12-30,1409.0,CA,201607.0,TOYT,PA,GN,14508 VICTORY BL,00363,53.0,88.13B+,METER EXP.,63.0,6425910.4,1890614.7
4273834972,2015-12-30,1423.0,CA,,TOYT,PA,WT,6202 VAN NUYS BL,00363,53.0,88.13B+,METER EXP.,63.0,6425958.7,1889174.1
4273834983,2015-12-30,1439.0,CA,201601.0,FORD,PA,BK,6650 VAN NUYS BL,00363,53.0,88.13B+,METER EXP.,63.0,6425971.4,1892397.7
4273834994,2015-12-30,1439.0,CA,201601.0,TOYT,PA,WT,6650 VAN NUYS BL,00363,53.0,88.13B+,METER EXP.,63.0,6425971.4,1892397.7
4273836792,2015-12-30,106.0,CA,,AUDI,PA,WT,408 ALEXANDRIA AVE N,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,6471370.6,1850902.4
4273838015,2015-12-30,1007.0,ID,201604.0,FORD,TK,PR,1200 GRANVILLE AVE,00189,51.0,80.56E4+,RED ZONE,93.0,6421527.2,1840184.8
4273838026,2015-12-30,1034.0,CA,201605.0,CHEV,PA,BL,600 VETERAN AVE,00189,51.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
4273838030,2015-12-30,1041.0,CA,201612.0,FIAT,PA,GY,1001 WESTWOOD BLVD,00189,51.0,88.13B+,METER EXP.,63.0,6426797.9,1845451.3
4273838041,2015-12-30,1153.0,CA,201604.0,LEXS,PA,WT,2301 PROSSER AV,00189,51.0,88.13B+,METER EXP.,63.0,6433580.2,1839404.6
4273838052,2015-12-30,1201.0,CA,201511.0,AUDI,PA,BK,2301 PELHAM AV,00189,51.0,88.13B+,METER EXP.,63.0,6432791.9,1838804.5
4273838063,2015-12-30,1343.0,CA,201606.0,MITS,PA,SL,1909 PONTIUS AVE,00189,51.0,80.69C,PARKED OVER TIME LIM,58.0,6427760.6,1838710.6
